filename,notes,authors,licenses,urls
"body/bodies/female/walk/amber.png","see details at https://opengameart.org/content/lpc-character-bases","Benjamin K. Smith (BenCreating), bluecarrot16, TheraHedwig, Evert, MuffinElZangano, Durrani, Pierre Vigier (pvigier), ElizaWy, Matthew Krohn (makrohn), Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, https://opengameart.org/content/lpc-ladies, https://opengameart.org/content/lpc-7-womens-shirts, https://opengameart.org/content/lpc-jump-expanded, https://opengameart.org/content/lpc-be-seated, https://opengameart.org/content/lpc-revised-character-basics, https://gitlab.com/vagabondgame/lpc-characters, https://opengameart.org/content/lpc-male-jumping-animation-by-durrani, https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle"
"head/heads/human/male/walk/amber.png","original head by Redshrike, tweaks by BenCreating, modular version by bluecarrot16","bluecarrot16, Benjamin K. Smith (BenCreating), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-character-bases"
"head/faces/male/sad/walk/amber.png","Original by Redshrike, Expressions by ElizaWy, mapped to all frames by JaidynReiman","JaidynReiman, ElizaWy, Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head, https://opengameart.org/content/ulpc-expanded-expressions"
"torso/clothes/sleeveless/tanktop/female/walk/bluegray.png",""pirate shirt" by MadMarcel, edited to all poses by makrohn, cleanup and re-drawing by ElizaWy, edits for v3 bases and further cleanup by bluecarrot16","bluecarrot16, ElizaWy, Matthew Krohn (makrohn), Marcel van de Steeg (MadMarcel), Stephen Challener (Redshrike), Johannes Sjölund (wulax)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-female-orcogregoblintroll-base-walkcycle, https://opengameart.org/content/lpc-7-womens-shirts, http://opengameart.org/content/lpc-clothing-updates"
"legs/pants/thin/walk/bluegray.png","original male pants by wulax, edited for female by Joe White, recolors and edits to v3 base by bluecarrot16, teen legs by ElizaWy derived from base, climb/jump/run/sit/emotes/revised combat by JaidynReiman based on ElizaWy's LPC Revised","bluecarrot16, JaidynReiman, ElizaWy, Joe White, Matthew Krohn (makrohn), Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, GPL 3.0, CC-BY-SA 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, http://opengameart.org/content/lpc-clothing-updates, https://opengameart.org/content/lpc-expanded-pants"
"feet/boots/basic/thin/walk/black.png","original by Nila122, edited for male and v3 bases by bluecarrot16, Jump/Sit/Emote/Run/Revised Combat by JaidynReiman","JaidynReiman, bluecarrot16, Nila122","OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair, https://opengameart.org/content/lpc-expanded-socks-shoes"
"hair/sara/adult/fg/walk/redhead.png","","Stephen Challener (Redshrike), William.Thompsonj, Mandi Paugh, bluecarrot16","OGA-BY 3.0, CC-BY 3.0","https://opengameart.org/content/lpc-sara, https://opengameart.org/content/lpc-hair, https://opengameart.org/content/lpc-expanded-xlong-hair"
